code,name,hex,source_code
P001,Evergreen (80-15179),#305545,80-15179
P002,Light Grey (80-15181),#B3BAB8,80-15181
P003,Lavender (80-15182),#AF9FCE,80-15182
P004,Shamrock (80-15199),#008F53,80-15199
P005,Cobalt (80-15200),#0065B1,80-15200
P006,Midnight (80-15201),#2F3C55,80-15201
P007,Robin's Egg (80-15202),#A9CDD5,80-15202
P008,Flamingo (80-15203),#F2AFB7,80-15203
P009,Salmon (80-15204),#E1747A,80-15204
P010,Fawn (80-15205),#C9A385,80-15205
P011,Pewter (80-15206),#94A19D,80-15206
P012,Charcoal (80-15207),#4F595A,80-15207
P013,Toasted Marshmallow (80-15208),#DEDACE,80-15208
P014,Orchid (80-15210),#B1628E,80-15210
P015,Tomato (80-15211),#D14337,80-15211
P016,Spice (80-15212),#D9593A,80-15212
P017,Apricot (80-15213),#F5A168,80-15213
P018,Sherbet (80-15214),#D8E47C,80-15214
P019,Mist (80-15215),#93B0BD,80-15215
P020,Sky (80-15216),#4AC0D8,80-15216
P021,Lagoon (80-15217),#00A4AC,80-15217
P022,Teal (80-15218),#047F8A,80-15218
P023,Fern (80-15219),#7F971A,80-15219
P024,Olive (80-15220),#696E31,80-15220
P025,Cherry (80-15961),#9D2B3A,80-15961
P026,White (80-19001),#EAEFEE,80-19001
P027,Creme (80-19002),#E1E2BB,80-19002
P028,Yellow (80-19003),#E7CE3E,80-19003
P029,Orange (80-19004),#EB7B31,80-19004
P030,Red (80-19005),#B0353C,80-19005
P031,Bubblegum (80-19006),#D8729A,80-19006
P032,Purple (80-19007),#684B86,80-19007
P033,Dark Blue (80-19008),#0E5092,80-19008
P034,Light Blue (80-19009),#278CC9,80-19009
P035,Dark Green (80-19010),#007B4E,80-19010
P036,Light Green (80-19011),#18C7B1,80-19011
P037,Brown (80-19012),#674C44,80-19012
P038,Grey (80-19017),#909497,80-19017
P039,Black (80-19018),#323234,80-19018
P040,Rust (80-19020),#995043,80-19020
P041,Light Brown (80-19021),#936848,80-19021
P042,Peach (80-19033),#E9BFB9,80-19033
P043,Tan (80-19035),#C5AC90,80-19035
P044,Magenta (80-19038),#E04284,80-19038
P045,Pastel Blue (80-19052),#4A9CCF,80-19052
P046,Pastel Green (80-19053),#6DCC94,80-19053
P047,Pastel Lavender (80-19054),#937FBF,80-19054
P048,Pastel Yellow (80-19056),#E9E290,80-19056
P049,Cheddar (80-19057),#FBB146,80-19057
P050,Toothpaste (80-19058),#96D1D4,80-19058
P051,Hot Coral (80-19059),#DD595B,80-19059
P052,Plum (80-19060),#A75D9D,80-19060
P053,Kiwi Lime (80-19061),#69B845,80-19061
P054,Turquoise (80-19062),#0098C5,80-19062
P055,Blush (80-19063),#F99297,80-19063
P056,Periwinkle Blue (80-19070),#6683B7,80-19070
P057,Light Pink (80-19079),#E1BCCE,80-19079
P058,Green (80-19080),#4DAB64,80-19080
P059,Pink (80-19083),#D45496,80-19083
P060,Raspberry (80-19088),#983864,80-19088
P061,Butterscotch (80-19090),#DA9964,80-19090
P062,Parrot Green (80-19091),#009188,80-19091
P063,Dark Grey (80-19092),#585C61,80-19092
P064,Blueberry Creme (80-19093),#85A8E3,80-19093
P065,Cranapple (80-19096),#843947,80-19096
P066,Prickly Pear (80-19097),#BBC938,80-19097
P067,Sand (80-19098),#E5BE9E,80-19098
P068,Mint (80-15240),#B3EED5,80-15240
P069,Sour Apple (80-15241),#A3DE6F,80-15241
P070,Cotton Candy (80-15242),#F479B0,80-15242
P071,Grape (80-15243),#503B9C,80-15243
P072,Rose (80-15244),#D25D72,80-15244
P073,Iris (80-15245),#4E56A3,80-15245
P074,Tangerine (80-15246),#FD5918,80-15246
P075,Forest (80-15247),#005D57,80-15247
P076,Eggplant (80-15248),#6F3255,80-15248
P077,Honey (80-15249),#DA8C2C,80-15249
P078,Gingerbread (80-15250),#7E5446,80-15250
P079,Thistle (80-15251),#8C8CA7,80-15251
P080,Slate Blue (80-15252),#5E6D7B,80-15252
P081,Denim (80-15253),#4C6388,80-15253
P082,Sage (80-15254),#9AA98E,80-15254
P083,Orange Cream (80-15255),#EFB79B,80-15255
P084,Fruit Punch (80-15256),#CA3B65,80-15256
P085,Fuchsia (80-15257),#CB59B9,80-15257
P086,Mulberry (80-15258),#714875,80-15258
P087,Slime (80-15259),#C8C85C,80-15259
P088,Stone (80-15260),#988C8C,80-15260
P089,Dark Spruce (80-15261),#14313B,80-15261
P090,Cocoa (80-15262),#392928,80-15262
P091,Twilight Plum (80-15265),#C685B1,80-15265
P092,Caribbean Sea (80-15266),#6CC8AD,80-15266
P093,Frosted Lilac (80-15267),#CDB7C3,80-15267
P094,Brick (80-15273),#FC9574,80-15273
P095,Rich Butter (80-15274),#F6CA69,80-15274
P096,Peacock (80-15275),#0090AC,80-15275
P097,Carnation Pink (80-15276),#F8C7C9,80-15276
P098,Neon Blue (80-15089),#406AE1,80-15089
P099,Sunflower (80-15268),#DEBA0B,80-15268
P100,Lemon (80-15269),#F6D901,80-15269
P101,Celery (80-15263),#BED4A6,80-15263
P102,Mocha (80-15239),#C8B693,80-15239
P103,Coral (80-15272),#FF9A8B,80-15272
